Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,50,78,C,Post-COVID rural smartphone surge; +12pp from 2019
Agricultural_labourer,40,68,C,Larger jump; Jio affordability
Household_industry,55,80,C,
Manufacturing,67,87,C,
Construction,63,80,C,
Trade_retail,80,92,C,Muni concentrated; near-saturation
Transport_logistics,75,88,C,Petrapole logistics workers smartphone-heavy
Services,83,93,C,
Government_services_teachers,92,97,C,Highest
Out_migrant_worker,80,82,D,Smartphone required for remittance/contact; high adoption
