Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,30,55,C,+8pp smartphone from 2019 via Jio rural expansion
Agricultural_labourer,22,46,C,+7pp from 2019; Lakshmir Bhandar DBT-linked smartphone adoption
Forest_produce_collection,16,38,D,+6pp; remote but Jio 4G reached forest-fringe by 2020-21
Household_industry,35,58,C,
Manufacturing,38,60,C,
Construction,40,58,C,+10pp smartphone; construction workers use WhatsApp for job search
Trade_retail,65,82,C,
Transport_logistics,55,74,C,
Services,70,84,C,
Government_services_teachers,88,92,C,Near-saturation
Out_migrant_worker,72,68,D,Smartphone needed for remittance; high adoption even in tribal belt
