Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,52,75,C,UPI + mandi price apps; NFHS-5 + growth
Agricultural_labourer,38,66,C,Smartphone uptake among lowest-income
Household_industry,56,78,C,Mat-weaving + bidi; smartphones for small business
Manufacturing,68,88,C,
Construction,65,80,C,Migrant workers need remittance apps
Trade_retail,82,93,C,Muni commercial; UPI now standard
Transport_logistics,72,85,D,Ferry + road; GPS and navigation
Services,85,94,C,
Government_services_teachers,91,98,C,Highest; mandatory digital for govt functions
Out_migrant_worker,82,80,D,Remittance via UPI; Kerala destination near-100% smartphone
Fishing_pisciculture,58,72,D,Working boats now routinely carry smartphones for weather and fish-market price alerts
Tourism_hospitality,70,92,D,Muni hotel/ghat economy; digital payments standard
