Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,32,58,C,Post-COVID Jio rural surge; delta geography
Agricultural_labourer,26,48,C,Lowest income; connectivity improving but below state avg
Household_industry,38,60,C,
Manufacturing,40,62,E,
Construction,50,68,C,Workers keep smartphone for Kolkata contact
Trade_retail,62,78,C,
Transport_logistics,52,68,C,Boat/road-based; smartphone for coordination
Services,68,82,C,
Government_services_teachers,82,90,C,Highest in AC
Out_migrant_worker,75,75,D,Smartphone essential for remittances
