axis,category,pct,tier,source,is_subgroup
religion,Hindu,81.60,A/E,2019 baseline 82.00%; 2-yr differential projection: Hindu +1.0%/yr vs Muslim +1.3%/yr → net slight Hindu decline; Kumargram CDB Census 2011 82.27% base,no
religion,Muslim,5.12,E,2019 baseline 5.00%; 2-yr Muslim growth +1.3%/yr → +0.12pp,no
religion,Christian,11.76,A/E,2019 baseline 11.50%; stable or slight decline; tea-belt missionary base stabilising,no
religion,Sarna_ORP,1.02,E,2019 baseline 1.00%; stable tribal religion fraction,no
religion,Other_residual,0.50,E,Buddhist/Sikh/Jain fringe; stable,no
caste,SC_total,35.50,A,Kumargram CDB Census 2011: 35.78% SC; stable to 2021,no
caste,Rajbanshi_SC,20.00,E,Dominant SC in Dooars; ~56% of SC pool,yes
caste,Namasudra_SC,5.00,E,~14% of SC pool,yes
caste,Other_SC,10.50,E,"Bagdi, Hari, Bauri, residual SC communities",yes
caste,ST_total,29.50,A,Kumargram CDB Census 2011: 30.00% ST; AC ~29.5%,no
caste,Oraon_ST,12.00,D,Dominant plantation ST; Kurukh-speakers; tea garden Adivasi belt,yes
caste,Santal_ST,8.00,D,Second largest; plains-farming Santal community,yes
caste,Munda_ST,5.00,D,Tea garden labour community,yes
caste,Other_ST,4.50,E,"Bodo, Rajbongshi-ST, Toto fringe, other Jharkhand-origin tribes",yes
caste,UC_bhadralok,3.00,E,Very small in rural tea-belt AC; Bengali Brahmin/Kayastha fraction,no
caste,OBC,5.00,E,"Koch-Rajbongshi OBC, Kurmi, other OBC in Dooars",no
caste,Other_Hindu_middle,14.88,E,Residual Hindu not SC/ST/UC/OBC: 81.60 − 35.50 SC − 29.50 ST − 3.00 UC − 5.00 OBC = 8.60; adjusted with Muslim 5.12 + Christian 11.76 + Sarna 1.02 + Other 0.50; balance = 14.88,no
caste,Muslim,5.12,E,See C.1,no
caste,Christian_plus_Sarna_plus_Other,6.00,E,Christian 11.76% + Sarna 1.02% + Other 0.50% combined in caste frame (3-generation tea-line settled),no
age_cohort,18_22,11.50,E,First-time voter cohort entry 2019-2021; young population,no
age_cohort,23_27,11.00,E,,no
age_cohort,28_32,10.50,E,,no
age_cohort,33_37,10.00,E,,no
age_cohort,38_42,9.50,E,,no
age_cohort,43_47,9.00,E,,no
age_cohort,48_52,8.50,E,,no
age_cohort,53_57,8.00,E,,no
age_cohort,58_62,7.00,E,,no
age_cohort,63_67,8.00,E,Tea-belt mortality pattern; slightly higher elderly share,no
age_cohort,68,7.00,E,68+ open-ended; renormalized from Census 2011 18+ cohorts,no
gender,Male,51.20,E,Sex ratio ~955 F per 1000 M → 51.20% M / 48.79% F; marginal improvement from 2019 baseline 951,no
