axis,category,pct,tier,source,is_subgroup
religion,Hindu,69.50,E,Jalpaiguri district 2011: Hindu ~70%; 10-yr projection; marginal decline as Sarna-ORP identity grows; tea garden Adivasi religious identity fluidity,no
religion,Muslim,8.00,E,Jalpaiguri district 2011 ~8–9% Muslim; Nagrakata block lower than district avg given heavy ST composition; stable,no
religion,Christian,2.80,E,Slight increase; ongoing conversion in tea-garden belt; Anglican/Catholic missions continue,no
religion,Sarna_ORP,18.20,E,Adivasi Sarna/traditional religion practitioners; slight increase from Christian and Hindu Adivasi self-identifying as Sarna by 2021,no
religion,Other_residual,1.50,E,Buddhist (Nepali/Tibetan fringe near Bhutan border) + Sikh + Jain + Not_stated,no
caste,SC_total,8.00,E,Jalpaiguri district SC ~11%; Nagrakata block lower SC given high ST proportion; stable,no
caste,Rajbanshi_SC,5.00,E,Dominant SC in Jalpaiguri; Koch-Rajbanshi community partially SC-listed,yes
caste,Other_SC,3.00,E,"Residual SC (Chamar, Hari, Bauri etc.)",yes
caste,ST_total,45.00,E,Nagrakata ST-reserved; Jalpaiguri census 2011 ST ~28% at district level; Nagrakata block heavily ST (tea garden Adivasi belt — Oraon/Munda/Santhali/Toto fringe); stable,no
caste,Oraon_ST,20.00,E,Largest single ST community in Jalpaiguri tea gardens; dominant in Nagrakata belt,yes
caste,Munda_ST,10.00,E,Second largest tea-garden tribal,yes
caste,Santhali_ST,8.00,E,Widespread across Terai tea estates,yes
caste,Other_ST,7.00,E,"Includes Toto (small community), Bodo, Mech, Rabha",yes
caste,UC_bhadralok,4.00,E,Brahmin/Kayastha/Baidya — small administrative and professional class in Nagrakata town,no
caste,OBC,6.00,E,"Rajbanshi (OBC category), Koch, Desi Muslim artisans",no
caste,Other_Hindu_middle,14.00,E,"Residual: Gorkha/Nepali Hindu, Bengali middle castes, Marwari trader fringe",no
caste,Muslim,8.00,E,Mirrors C.1; mostly Bengali-speaking and Deshi Muslim,no
caste,Christian_plus_Sarna_plus_Other,15.00,E,Collapsed: Christian converts (2.8%) + Sarna/ORP non-Hindu-coded tribal (11.7%) + Other_residual (0.5%),no
age_cohort,18_22,12.00,E,2021 new voter cohort; renormalized from Jalpaiguri district age pyramid 2011; two new cohorts entered since 2019,no
age_cohort,23_27,12.50,E,,no
age_cohort,28_32,12.00,E,,no
age_cohort,33_37,10.50,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.00,E,,no
age_cohort,48_52,8.00,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.00,E,,no
