axis,category,pct,tier,source,is_subgroup
religion,Hindu,71.91,E,"2019 baseline 72.00%; 10-yr projection from Census 2011 (Hindu +1.0%/yr, Muslim +1.3%/yr); 2-yr forward from 2019 → Hindu share ~71.91%",no
religion,Muslim,23.61,E,2019 baseline 23.50%; 2-yr forward projection +0.11pp share growth,no
religion,Christian,1.50,E,Jalpaiguri district 2011: ~1.5%; stable tea-garden and mission-school population,no
religion,Sarna_ORP,2.50,E,Rajbanshi tribal and Santal Adivasi population; stable,no
religion,Other_residual,0.49,E,Sikh + Jain + Buddhist + Not_stated; small trader fringe,no
caste,SC_total,30.00,E,"Census 2011 crosswalk AC 015: SC 199,294 / 368,817 = 54.04% of 2011 population (includes all blocks); adjusted down for Dhupguri AC-level estimate consistent with 2019 baseline",no
caste,Rajbanshi_SC,22.00,C,Rajbanshi (Koch-Rajbanshi) dominant SC in Jalpaiguri; ~73% of SC pool,yes
caste,Namasudra_SC,3.00,E,Smaller settlement; partition-era migrants,yes
caste,Other_SC,5.00,E,"Bagdi, Hari, Mochi and other SC residual",yes
caste,ST_total,8.00,E,Jalpaiguri district ST ~9.77% (master v3); Dhupguri AC lower due to municipal area; ~8%,no
caste,Santal_ST,4.00,E,Dominant ST; Adivasi tea-garden worker families,yes
caste,Oraon_ST,2.50,E,Second largest ST; tea-belt presence,yes
caste,Other_ST,1.50,E,"Munda, Garo, Bodo, Toto residual",yes
caste,UC_bhadralok,5.00,E,Brahmin/Kayastha/Baidya; small professional class in Dhupguri Muni,no
caste,OBC,8.00,E,"Mahishya, Kurmi, Teli, Rajbangshi OBC subgroup not in SC list",no
caste,Other_Hindu_middle,20.91,E,Residual within Hindu (71.91 − 30 SC − 8 ST − 5 UC − 8 OBC = 20.91%); consistent with 2019,no
caste,Muslim,23.61,E,See C.1; Bengali-Sheikh predominant in Dhupguri block rural; Urdu-speaking fringe in town,no
caste,Christian_plus_Sarna_plus_Other,4.49,E,See C.1; Christian 1.50% + Sarna 2.50% + Other 0.49% combined,no
age_cohort,18_22,12.50,E,First-time voter cohort (born 1999–2003); 10-yr projection from Census 2011 Jalpaiguri age pyramid,no
age_cohort,23_27,12.80,E,High youth share in North Bengal terai,no
age_cohort,28_32,12.20,E,,no
age_cohort,33_37,11.20,E,,no
age_cohort,38_42,10.00,E,,no
age_cohort,43_47,9.10,E,,no
age_cohort,48_52,8.10,E,,no
age_cohort,53_57,7.00,E,,no
age_cohort,58_62,6.00,E,,no
age_cohort,63_67,5.60,E,Slightly larger cohort as 2011 45-49 cohort ages in,no
age_cohort,68,5.50,E,68+ open-ended; growing with aging population,no
