Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,42.00,65.00,E,Post-COVID Jio rural expansion; reverse migrants with smartphones returned to agriculture
Agricultural_labourer,30.00,58.00,E,Lowest income; modest gain from 2019
Household_industry,48.00,70.00,E,
Manufacturing,60.00,80.00,E,
Construction,55.00,74.00,E,
Trade_retail,72.00,87.00,E,Muni concentrated; near-saturation
Transport_logistics,65.00,80.00,E,
Services,75.00,90.00,E,
Government_services_teachers,88.00,95.00,E,Highest; Duare Sarkar digital infrastructure
Out_migrant_worker,70.00,78.00,E,Reduced pool; those remaining more smartphone-intensive
