Occupation,Smartphone-internet,TV,Tier,Source
Cultivator,22,52,C,Rural ag baseline; tribal landholding tiny
Ag-labourer,15,42,C,Poorest income bracket
Forest-produce collector,10,35,D,"NTFP workers: remotest, lowest media access; D estimate from Jangalmahal livelihood reports"
Household industry,25,55,C,
Construction,30,55,C,
Trade / retail,55,80,C,Muni-concentrated; higher access
Transport,45,72,C,
Services (private),60,82,C,
Govt services / teachers,80,90,C,Highest
Out-migrant,55,65,D,Smartphone needed for remittance; WhatsApp penetration high among migrants
