Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,72,78,C,WhatsApp farming info + weather alerts universal by 2024
Agricultural_labourer,65,68,C,Jan Dhan → UPI → smartphone adoption driven by DBT receipt
Household_industry,75,78,C,Tobacco/handloom artisans; moderate uptake
Manufacturing,82,86,C,
Construction,80,80,C,Smartphones essential for construction labour coordination
Trade_retail,92,93,C,UPI mandatory for census-town commerce; WhatsApp ordering
Transport_logistics,88,88,C,GPS / ride apps
Services,88,90,C,
Government_services_teachers,96,97,C,WB govt e-governance; digital salary transfer
Out_migrant_worker,90,82,D,Smartphones essential for remittances / family contact
